Properti_Name,Price,Lokasi,Detail
Rumah dijual  dekat lebak bulus bisa cicil 80x tanpa bunga tanpa bank,Rp 1.500.000.000,"Jakarta Selatan, Jakarta D.K.I.",3 KT - 2 KM - 104 m2
dijual rumah lama siap huni di pondok pinang,Rp 5.000.000.000,"Kebayoran Lama, Jakarta Selatan",4 KT - 3 KM - 200 m2
dijual rumah bagus di area permata hijau Jakarta selatan,Rp 11.000.000.000,"Jakarta Selatan, Jakarta D.K.I.",5 KT - 5 KM - 575 m2
dijual rumah bagus di cipete utara kebayoran baru,Rp 7.000.000.000,"Kebayoran Baru, Jakarta Selatan",6 KT - 5 KM - 325 m2
dijual rumah bagus di cipete utara kebayoran baru,Rp 4.400.000.000,"Kebayoran Baru, Jakarta Selatan",6 KT - 5 KM - 320 m2
dijual rumah bagus di cilandak Jakarta,Rp 6.000.000.000,"Cilandak, Jakarta Selatan",8 KT - 7 KM - 400 m2
dijual rumah mewah di cilandak townhouse fatmawati Jakarta selatan,Rp 4.200.000.000,"Cilandak, Jakarta Selatan",4 KT - 4 KM - 200 m2
dijual apartemen mewah senayan city residence,Rp 6.500.000.000,"Kebayoran Baru, Jakarta Selatan",4 KT - 3 KM - 165 m2
dijual apartemen mewah Gatot Subroto jakarta pusat,Rp 9.000.000.000,"Mampang Prapatan, Jakarta Selatan",5 KT - 4 KM - 478 m2
dijual apartemen mewah di Tebet Mt Haryono,Rp 2.300.000.000,"Pancoran, Jakarta Selatan",2 KT - 2 KM - 52 m2
dijual apartemen sky garden setiabudi,Rp 6.200.000.000,"Mampang Prapatan, Jakarta Selatan",4 KT - 3 KM - 155 m2
dijual apartemen Eminance darmawangsa,Rp 2.200.000.000,"Kebayoran Baru, Jakarta Selatan",2 KT - 1 KM - 83 m2
"Dijual Cepat Rumah Cocok Untuk Keluarga, Lokasi Strategis",Rp 1.965.000.000,"Jakarta Selatan, Jakarta D.K.I.",2 KT - 1 KM - 100 m2
"DIJUAL Rumah Asri di Komplek Timah Fatmawati , Jakarta Selatan",Rp 7.185.000.000,"Cilandak, Jakarta Selatan",4 KT - 4 KM - 200 m2
"Jual Termurah  Pakubuwono View 3 BR, 196 sqm, Unfurnished",Rp 6.200.000.000,"Kebayoran Lama, Jakarta Selatan",3 KT - 2 KM - 196 m2
Precium Simatupang Tipe Lebar 7,Rp 7.822.080.000,"Cilandak, Jakarta Selatan",4 KT - 3 KM - 251 m2
dijual apartemen mewah Pakubuwono,Rp 23.000.000.000,"Kebayoran Baru, Jakarta Selatan",4 KT - 5 KM - 517 m2
Dijual tanah ukuran 996 di Perumahan Green Permata by Agung Podomoro,Rp 13.440.000.000,"Pesanggrahan, Jakarta Selatan",3 KT - 3 KM - 996 m2
"Dijual rumah di daerah Cipete Utara, lengkap dengan kolam renang",Rp 12.000.000.000,"Cilandak, Jakarta Selatan",4 KT - 3 KM - 345 m2
Dijual Tanah di Perumahan Green Permata Jakarta Selatan bebas banjir,Rp 4.171.500.000,"Pesanggrahan, Jakarta Selatan",1 KT - 1 KM - 309 m2
dijual apartemen/office Soho Pancoran jakarta selatan,Rp 2.700.000.000,"Pancoran, Jakarta Selatan",2 KT - 2 KM - 102 m2
Dijual cepat Apartement diThe Penthouse Senopati view Bundaran Senayan,Rp 4.000.000.000,"Kebayoran Baru, Jakarta Selatan",2 KT - 3 KM - 132 m2
Dijual apartement 2BR di the Penthouse Senopati di Jakarta Selatan,Rp 3.700.000.000,"Kebayoran Baru, Jakarta Selatan",2 KT - 3 KM - 132 m2
DI jual space office dan hunian di SOHO PANCORAN.,Rp 2.750.000.000,"Pancoran, Jakarta Selatan",1 KT - 2 KM - 102 m2
"Dijual space Office dan hunian di SOHO Pancoran, dengan konsep modern",Rp 2.750.000.000,"Pancoran, Jakarta Selatan",1 KT - 3 KM - 102 m2
FOR SALE APARTEMENT DICASABLANCA MANSION VIEW KOLAM RENANG,Rp 1.300.000.000,"Pancoran, Jakarta Selatan",1 KT - 1 KM - 42 m2
Dijual Rumah Mewah Townhouse Pejaten Barat Jakarta Selatan,Rp 13.500.000.000,"Pasar Minggu, Jakarta Selatan",3 KT - 3 KM - 350 m2
Kalibata Indah Perumahan Favorit di Jakarta Selatan,Rp 5.500.000.000,"Pancoran, Jakarta Selatan",5 KT - 4 KM - 200 m2
RUMAH MODERN TROPICAL CILANDAK BELAKANG CITOS,Rp 8.500.000.000,"Cilandak, Jakarta Selatan",5 KT - 5 KM - 242.0 m2
Panorama Terrace Tipe B,Rp 2.500.000.000,"Pesanggrahan, Jakarta Selatan",5 KT - 4 KM - 160 m2
Rumah Dijual Murah Di Pondok Indah,Rp 5.200.000.000,"Kebayoran Lama, Jakarta Selatan",4 KT - 4 KM - 260 m2
Dijual Rumah Di Jl Haji Syaip Ujung Kav 2 Jakarta Selatan,Rp 12.500.000.000,"Cilandak, Jakarta Selatan",6 KT - 5 KM - 625 m2
Di Jual Rumah Pondok Indah View Golf,Rp 200.000.000.000,"Kebayoran Lama, Jakarta Selatan",6 KT - 6 KM - 1440 m2
Di Jual Rumah Super Mewah Dekat Golf Pondok Indah,Rp 120.000.000.000,"Kebayoran Lama, Jakarta Selatan",6 KT - 7 KM - 2700 m2
Di Jual Rumah Mewah Pondok Indah,Rp 100.000.000.000,"Kebayoran Lama, Jakarta Selatan",6 KT - 6 KM - 2700 m2
Di Jual Rumah Baru Di Pondok Indah,Rp 85.000.000.000,"Kebayoran Lama, Jakarta Selatan",5 KT - 6 KM - 1700 m2
"Rumah jalan cempedak, pejaten barat",Rp 36.000.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 4 KM - 758 m2
Rumah tropical modern pondok indah Jaksel,Rp 19.000.000.000,"Kebayoran Lama, Jakarta Selatan",4 KT - 4 KM - 603 m2
Rumah Lebak bulus jaksel,Rp 15.500.000.000,"Jakarta Selatan, Jakarta D.K.I.",4 KT - 5 KM - 450 m2
Viridia town house daerah kota jakarta selatan Cilandak,Rp 5.750.000.000,"Cilandak, Jakarta Selatan",3 KT - 2 KM - 275 m2
Rumah jalan Wijaya timur daerah Kebayoran Baru jaksel,Rp 12.900.000.000,"Kebayoran Baru, Jakarta Selatan",5 KT - 3 KM - 300 m2
Rumah daerah Pesanggrahan daerah jakarta selatan,Rp 4.200.000.000,"Pesanggrahan, Jakarta Selatan",1 KT - 1 KM - 209 m2
Dijual - Rmh Minimalis sebelah stasiun MRT Lebak Bulus,Rp 1.700.000.000,"Cilandak, Jakarta Selatan",4 KT - 3 KM - 180 m2
DIJUAL CEPAT MURAH CLUSTER INTEGRA SERENIA ESTATE PONDOK INDAH,Rp 4.500.000.000,"Kebayoran Lama, Jakarta Selatan",3 KT - 3 KM - 177 m2
Rumah Taman Luas & Asri di Tengah Kota Jakarta,Rp 17.250.000.000,"Mampang Prapatan, Jakarta Selatan",5 KT - 5 KM - 536 m2
Panorama Terrace Tipe D,Rp 2.900.000.000,"Pesanggrahan, Jakarta Selatan",4 KT - 4 KM - 180 m2
Di Jual Cepat Rumah Di Bawah Harga NJOP Jarang Ada,Rp 2.350.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 2 KM - 220 m2
Apartemen Fatmawati city center daerah Cilandak Jakarta Selatan,Rp 2.525.000.000,"Cilandak, Jakarta Selatan",2 KT - 1 KM - 51 m2
Rumah Asri Nyaman Posisi Hook di Pondok Indah Jaksel,Rp 13.900.000.000,"Kebayoran Lama, Jakarta Selatan",3 KT - 4 KM - 450 m2
"DIJUAL CEPAT APARTEMEN KEMANG VILLAGE 2,3M (Turun Harga)",Rp 2.300.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 2 KM - 124 m2
Rumah Semifurnish Elegan di Lokasi Premium Jakarta Selatan,Rp 15.000.000.000,"Kebayoran Lama, Jakarta Selatan",4 KT - 3 KM - 290 m2
Rumah siap huni di Ampera Dekat TB Simatuoang Ada kolam Renang Pribadi,Rp 26.000.000.000,"Pasar Minggu, Jakarta Selatan",6 KT - 6 KM - 800 m2
Unit Primary! 2BR Antasari Place Cilandak Cukup 20JT Bisa KPA,Rp 2.728.802.000,"Cilandak, Jakarta Selatan",2 KT - 1 KM - 65 m2
Rumah Baru Desain Modern Lokasi Strategis di Kalibata,Rp 3.900.000.000,"Pancoran, Jakarta Selatan",5 KT - 4 KM - 199 m2
Rumah Baru Lokasi Strategis di Kalibata Jakarta Selatan,Rp 4.500.000.000,"Pancoran, Jakarta Selatan",7 KT - 6 KM - 354 m2
Rumah cluster di meruyung cinere depok dekat tol limo,Rp 275.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 30 m2
Rumah Posisi Hook Dalam Cluster Strategis di Lebak Bulus,Rp 7.200.000.000,"Cilandak, Jakarta Selatan",4 KT - 3 KM - 275 m2
Dijual murah Apartemen kalibata city resident tower flamboyan,Rp 335.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 33 m2
"Rumah DIJUAL Cepat & Murah ,Kemang dibawah NJOP",Rp 8.500.000.000,"Mampang Prapatan, Jakarta Selatan",5 KT - 5 KM - 300 m2
Rumah Secondary Terawat di Kebagusan Jakarta Selatan,Rp 3.500.000.000,"Pasar Minggu, Jakarta Selatan",6 KT - 4 KM - 168 m2
"Quick Sale Pondok Indah Resd, Luxurious FF",Rp 3.900.000.000,"Kebayoran Lama, Jakarta Selatan",1 KT - 1 KM - 80.0 m2
Rumah 2 Lantai Lokasi Strategis di Jati Padang Jakarta Selatan,Rp 7.900.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 4 KM - 450 m2
"Rumah Siap Huni di Cipete, Cilandak Row Jalan Lebar Bisa Untuk Kantor",Rp 15.500.000.000,"Cilandak, Jakarta Selatan",5 KT - 6 KM - 400 m2
"Rumah Siap Huni di Cipete, Cilandak Row Jalan Lebar Bisa Untuk Kantor",Rp 15.500.000.000,"Cilandak, Jakarta Selatan",5 KT - 6 KM - 400 m2
Apartment 1Park Avenue Tower Hamilton High Floor Semi Furnished,Rp 7.000.000.000,"Kebayoran Lama, Jakarta Selatan",2 KT - 2 KM - 146 m2
Rumah Brand New Dalam Clustes di Kebagusan Jaksel,Rp 2.300.000.000,"Pasar Minggu, Jakarta Selatan",3 KT - 3 KM - 120 m2
Hanya dengan 20 Juta! Dijual 1 Kamar Antasari Place Cilandak,Rp 1.789.860.000,"Cilandak, Jakarta Selatan",1 KT - 1 KM - 42 m2
Dijual Rumah tinggal + Kamar Kost 10 di Pancoran Jakarta Selatan,Rp 3.000.000.000,"Pancoran, Jakarta Selatan",>10 KT - >10 KM - 370 m2
beli apartemen gratis motor!,Rp 389.000.000,"Mampang Prapatan, Jakarta Selatan",1 KT - 1 KM - 22 m2
Rumah Dalam Cluster One Gate Dengan Private Pool di Jaksel,Rp 8.000.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 3 KM - 385 m2
Apartemen 1Park Residence 2BR High Floor Fully Furnished,Rp 2.300.000.000,"Kebayoran Baru, Jakarta Selatan",2 KT - 2 KM - 91 m2
Rumah Dalam Cluster di Kebagusan Fasilitas Lengkap,Rp 4.200.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 4 KM - 220 m2
"Jual Apartemen Bitaro Tower A, Siap Huni, Murah & Harga Bisa Nego",Rp 450.000.000,"Pesanggrahan, Jakarta Selatan",1 KT - 1 KM - 22 m2
For Sale Town house  3 Lt area  Fatmawati Jakarta,Rp 2.300.000.000,"Cilandak, Jakarta Selatan",4 KT - 2 KM - 109 m2
Rumah Modern Full Furnished  dekat MRT H Nawi,Rp 19.000.000.000,"Cilandak, Jakarta Selatan",5 KT - 5 KM - 800 m2
South Quarter Residence Tipe 2 BR Corner,Rp 3.724.637.590,"Cilandak, Jakarta Selatan",2 KT - 2 KM - 86 m2
Apartemen 1Park Avenue Tower Royal 3BR Fully Furnished,Rp 6.100.000.000,"Kebayoran Lama, Jakarta Selatan",3 KT - 2 KM - 177 m2
Cukup 20 Juta! Studio Antasari Place Cilandak Bisa KPA Bank,Rp 1.190.000.000,"Cilandak, Jakarta Selatan",1 KT - 1 KM - 28 m2
Rumah cluster di meruyung cinere depok,Rp 200.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 25 m2
Rumah cluster di cinere depok,Rp 225.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 30 m2
Rumah cluster di cinere depok,Rp 225.000.000,"Pesanggrahan, Jakarta Selatan",2 KT - 1 KM - 30 m2
Rumah bebas banjir di cinere depok,Rp 225.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 30 m2
apartemen siap huni 1 jutaan  di selatan jakarta gratis motor !,Rp 389.000.000,"Pesanggrahan, Jakarta Selatan",1 KT - 1 KM - 22 m2
Rumah cluster di meruyung cinere depok dekat tol limo,Rp 225.000.000,"Kebayoran Lama, Jakarta Selatan",2 KT - 1 KM - 30 m2
Rumah cluster di meruyung cinere depok,Rp 225.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 30 m2
Rumah cluster di meruyung limo depok,Rp 225.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 30 m2
Rumah cluster di meruyung limo depok dekat tol limo,Rp 225.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 30 m2
RUMAH BARU DEKAT MRT CIPETE,Rp 4.350.000.000,"Cilandak, Jakarta Selatan",4 KT - 4 KM - 220.0 m2
Dijual Rumah Cantik Harga Nego Di Jalan Kenanga Ampera Jakarta Selatan,Rp 22.000.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 3 KM - 1100 m2
Apartemen di Jakarta Selatan Gardenia Boulevard,Rp 3.750.000,"Pasar Minggu, Jakarta Selatan",1 KT - 1 KM - 34 m2
Rumah Mewah di  Permata Hijau Kebayoran Lama Jakarta Selata,Rp 17.000.000.000,"Kebayoran Lama, Jakarta Selatan",5 KT - 5 KM - 500 m2
Rumah dalam Cluster dengan Swimming Pool di Lebak Bulus Jaksel,Rp 7.000.000.000,"Cilandak, Jakarta Selatan",5 KT - 4 KM - 540 m2
Bangunan Komersil Cocok Untuk Kantor di Pasar Minggu,Rp 23.000.000.000,"Pasar Minggu, Jakarta Selatan",5 KT - 5 KM - 900 m2
apartemen diselatan jakarta 1 jutaan siap huni gratis motor!,Rp 389.000.000,"Pasar Minggu, Jakarta Selatan",1 KT - 1 KM - 22 m2
DiJual Apartemen H Residence MT Haryono New FURNISHED,Rp 700.000.000,"Pasar Minggu, Jakarta Selatan",1 KT - 1 KM - 37 m2
DiJual Super Cepat Rumah Mewah Posisi Hook di Sawangan  Depok,Rp 3.500.000.000,"Mampang Prapatan, Jakarta Selatan",5 KT - 4 KM - 282 m2
Condotel Harper MT Haryono Dijual Cepat Harga miring,Rp 590.000.000,"Pasar Minggu, Jakarta Selatan",1 KT - 1 KM - 31 m2
Apartemen H Residence Dijual Cepat (Hot Price) TURUN HARGA,Rp 625.000.000,"Pasar Minggu, Jakarta Selatan",1 KT - 1 KM - 37 m2
Dijual Super HOT Apartemen KUNINGAN CITY TOWER UBUD,Rp 1.900.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 60 m2
Jual Cpt Rumah Modern Asri Kebagusan Jaksel,Rp 2.900.000.000,"Pasar Minggu, Jakarta Selatan",5 KT - 4 KM - 200 m2
DIJUAL RUMAH MEWAH CILANDAK ADA KOLAM RENANG,Rp 8.500.000.000,"Cilandak, Jakarta Selatan",3 KT - 3 KM - 242 m2
The Samara - Rumah Baru 2 lantai Desain Modern Classic,Rp 2.450.000.000,"Cilandak, Jakarta Selatan",4 KT - 3 KM - 110 m2
Dijual Apartemen Residence 8 Senopati 3 Bedroom ceiling tinggi nego,Rp 7.200.000.000,"Kebayoran Baru, Jakarta Selatan",3 KT - 3 KM - 180 m2
Dijual Cepat Apartement The Wave Tower coral Dibawah harga pasaran,Rp 980.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 60 m2
DiJual Sesuai Harga NJOP Rumah Di Komplek  Unilever Jakarta selatan,Rp 5.000.000.000,"Pasar Minggu, Jakarta Selatan",5 KT - 3 KM - 400 m2
beli apartemen siap huni di Selatan Jakarta  gratis motor!,Rp 389.000.000,"Cilandak, Jakarta Selatan",1 KT - 1 KM - 22 m2
beli apartemen siap huni di bsd serpong dapat  MOTOR!,Rp 389.000.000,"Kebayoran Baru, Jakarta Selatan",1 KT - 1 KM - 22 m2
beli apartemen 1 jutaan siap huni di  bsd serpong gratis motor!,Rp 389.000.000,"Kebayoran Lama, Jakarta Selatan",1 KT - 1 KM - 22 m2
beli apartemen 1 jutaan siap huni di  bsd serpong gratis motor!,Rp 389.000.000,"Kebayoran Lama, Jakarta Selatan",1 KT - 1 KM - 22 m2
beli apartemen di bsd serpong dapat motor!,Rp 389.000.000,"Cilandak, Jakarta Selatan",1 KT - 1 KM - 22 m2
"Dijual Rumah Kantor dan Kost di Jalan Dwijaya Raya 7, Gandaria Utara -",Rp 25.000.000.000,"Kebayoran Baru, Jakarta Selatan",>10 KT - >10 KM - 464 m2
"Jual Cepat Rumah Jl. Terogong Kecil, Pondok Pinang, Jakarta",Rp 21.000.000.000,"Kebayoran Lama, Jakarta Selatan",4 KT - 4 KM - 934 m2
"Rumah di Jual di Jl. Wijaya Raya, Gandaria Utara - Jaksel",Rp 45.000.000.000,"Kebayoran Baru, Jakarta Selatan",5 KT - 5 KM - 300 m2
RUMAH MEWAH HARGA MEPET DEKAT NJOP KAWASAN PERMATA HIJAU,Rp 6.800.000.000,"Kebayoran Lama, Jakarta Selatan",4 KT - 4 KM - 450 m2
Apartemen Gardenia Boulevard Jakarta Selatan - Harga Nego,Rp 600.000.000,"Pasar Minggu, Jakarta Selatan",1 KT - 1 KM - 34 m2
Jual rumah HARGA MURAHDIBAWAH NJOP lokasi depan busway kebayoran lama,Rp 7.000.000.000,"Kebayoran Lama, Jakarta Selatan",8 KT - 3 KM - 200 m2
HOT SALE!!!Rumah 2 lantai siap huni di Bintaro Jaya Sektor 1,Rp 3.850.000.000,"Kebayoran Baru, Jakarta Selatan",4 KT - 3 KM - 200 m2
Dijual Apartemen Kalibata City Kemuning 2 BR SHM,Rp 349.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 33 m2
Rumah dijual di area Ragunan Pasar Minggu Jakarta Selatan,Rp 7.000.000.000,"Pasar Minggu, Jakarta Selatan",5 KT - 3 KM - 300 m2
Rumah Di Komplek Unilever Pesanggrahan Jaksel,Rp 13.000.000.000,"Pesanggrahan, Jakarta Selatan",3 KT - 3 KM - 150 m2
Rumah Perlu Renov Harga Termurah di Bintaro Jaksel,Rp 1.500.000.000,"Pesanggrahan, Jakarta Selatan",2 KT - 2 KM - 68 m2
Rumah Di jual Dalam cluster lokasi  pinang ciledug tanggerang,Rp 850.000.000,"Kebayoran Lama, Jakarta Selatan",3 KT - 2 KM - 90 m2
Aparteman Aspen Residence 3 kamar furnished.,Rp 1.800.000.000,"Cilandak, Jakarta Selatan",3 KT - 2 KM - 90 m2
"Dijual Rumah di Jln. Permata Hijau, Kebayoran Lama, Jakarta Selatan",Rp 8.500.000.000,"Kebayoran Lama, Jakarta Selatan",4 KT - 3 KM - 625 m2
Dijual rumah desain klasik di area Cilandak,Rp 12.500.000.000,"Pasar Minggu, Jakarta Selatan",7 KT - 5 KM - 705 m2
Rumah Apik harga tetjangkau Di Bintaro Sektor 7,Rp 4.500.000.000,"Pesanggrahan, Jakarta Selatan",5 KT - 4 KM - 250 m2
Apartment 1Park Avenue Tower Hamilton 2BR +1 Furnished,Rp 5.000.000.000,"Kebayoran Baru, Jakarta Selatan",2 KT - 2 KM - 146 m2
Rumah Lama Area Komersial Di Patal Senayan Jaksel,Rp 55.000.000.000,"Kebayoran Lama, Jakarta Selatan",5 KT - 5 KM - 665 m2
Perumahan KBI kalibatan jakarta selatan,Rp 8.000.000.000,"Pasar Minggu, Jakarta Selatan",5 KT - 5 KM - 380 m2
Jual Rumah Cilandak Jakarta Selatan 4 BR Unfurnished,Rp 35.000.000.000,"Cilandak, Jakarta Selatan",4 KT - 4 KM - 796 m2
"Apart Kalibata City Tower Terdepan, Hook, di atas Kalibata City Square",Rp 380.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 36 m2
Kebayoran Baru rumah kantor bangunan tua lokasi strategis,Rp 36.500.000.000,"Kebayoran Baru, Jakarta Selatan",4 KT - 3 KM - 315 m2
Apartemen Four Winds 3BR 146m2 dijual Cepat,Rp 6.000.000.000,"Kebayoran Lama, Jakarta Selatan",4 KT - 3 KM - 148 m2
Dijual Rumah Menarik dan Ada Fasilitas Kolam Renang di Cipete Jaksel,Rp 10.500.000.000,"Cilandak, Jakarta Selatan",4 KT - 4 KM - 180 m2
Rumah Dijual Cepat Murah Di Komplek Lebak Lestari Lebak Bulus Jaksel,Rp 3.250.000.000,"Cilandak, Jakarta Selatan",2 KT - 2 KM - 100 m2
DI JUAL RUMAH SANGAT MURAH DI BAWAH HARGA PASARAN MENDEKATI HARGA NJOP,Rp 950.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 100 m2
Rumah luas besar di Bintaro harga miring.,Rp 3.980.000.000,"Pesanggrahan, Jakarta Selatan",6 KT - 4 KM - 200 m2
Dijual Cepat Rumah Mewah Jakarta Selatan,Rp 21.000.000.000,"Cilandak, Jakarta Selatan",5 KT - 5 KM - 500 m2
Dijual Ruman Secondary di Pd. Labu Cilandak Jakarta selatan,Rp 1.100.000.000,"Cilandak, Jakarta Selatan",4 KT - 2 KM - 110 m2
Rumah Dijual Cepat Murah Siap Huni Di Jeruk Purut Cilandak Jaksel,Rp 3.500.000.000,"Pasar Minggu, Jakarta Selatan",5 KT - 3 KM - 175 m2
Rumah Kebayoran Bintaro Harga terjangkau,Rp 5.500.000.000,"Pesanggrahan, Jakarta Selatan",5 KT - 5 KM - 225 m2
Dijual Cepat Apartemen Gardenia Boulevard Pejaten Jakarta Selatan,Rp 900.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 48 m2
Dijual Rumah Baru dan Mewah di Pondok Indah Jakarta Selatan,Rp 34.000.000.000,"Kebayoran Lama, Jakarta Selatan",4 KT - 4 KM - 525 m2
Rumah Mewah siap huni di Pondok Indah Jakarta Selatan,Rp 45.000.000.000,"Kebayoran Lama, Jakarta Selatan",5 KT - 4 KM - 700 m2
Antasari Place Tipe 2BR,Rp 2.728.802.000,"Cilandak, Jakarta Selatan",2 KT - 1 KM - 65 m2
rumah secondary siap huni jatipadang utara,Rp 12.500.000.000,"Pasar Minggu, Jakarta Selatan",5 KT - 5 KM - 400 m2
Rumah Asri Terawat Depan Taman di Martimbang,Rp 50.000.000.000,"Kebayoran Baru, Jakarta Selatan",4 KT - 4 KM - 450 m2
DIJUAL CEPAT MURAH DIBAWAH NJOP RUMAH MEWAH DI KEMANG AREA,Rp 14.500.000.000,"Pasar Minggu, Jakarta Selatan",5 KT - 5 KM - 384 m2
JUAL CEPAT RUMAH CANTIK KALIBATA,Rp 2.300.000.000,"Pancoran, Jakarta Selatan",3 KT - 2 KM - 175 m2
Rumah Vanya Park di BSD New Brand,Rp 3.200.000.000,"Pesanggrahan, Jakarta Selatan",4 KT - 3 KM - 108 m2
Jual rumah di lenteng agung,Rp 3.000.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 3 KM - 109 m2
Dijual Rumah Luas di Pesanggrahan Jaksel,Rp 15.500.000.000,"Pesanggrahan, Jakarta Selatan",7 KT - 5 KM - 600 m2
Dijual Rumah Tua Hitung Tanah Lebak Bulus,Rp 1.200.000.000,"Cilandak, Jakarta Selatan",3 KT - 3 KM - 150 m2
"THE ASPEN RESIDENCE ADMIRALTY FATMAWATI JAK-SEL , Tower A Full Furnish",Rp 2.250.000.000,"Jakarta Selatan, Jakarta D.K.I.",4 KT - 3 KM - 102 m2
"DIJUAL BANGUNAN KOMERSIIL ,COCOK UNTUK USAHA atau KANTOR",Rp 8.000.000.000,"Jakarta Selatan, Jakarta D.K.I.",3 KT - 7 KM - 385 m2
Dijual Gedung Kantor di Petogogan Cocok Untuk usaha Kantor/Salon,Rp 16.000.000.000,"Kebayoran Baru, Jakarta Selatan",8 KT - 5 KM - 300 m2
DIJUAL SEGERA UNIT APT ASPEN RESIDENCE   ADMIRALTY [TOWER B] Fatmawati,Rp 1.800.000.000,"Cilandak, Jakarta Selatan",3 KT - 2 KM - 88 m2
Dijual Rumah Baru Semi Furnish Lokasi Strategis Pondok Labu Jaksel,Rp 5.950.000.000,"Cilandak, Jakarta Selatan",3 KT - 3 KM - 286 m2
Jual Cepat Rumah Mewah Ada Kolam Renang di Cipete Jakarta Selatan,Rp 10.500.000.000,"Cilandak, Jakarta Selatan",3 KT - 3 KM - 180 m2
"Dijual Rumah di River Valley Residence, Nego Sampai Jadi",Rp 6.500.000.000,"Cilandak, Jakarta Selatan",3 KT - 3 KM - 400 m2
DIJUAL MURAH RUMAH MEWAH DI CILANDAK JAKARTA SELATAN,Rp 23.000.000.000,"Cilandak, Jakarta Selatan",5 KT - 4 KM - 700 m2
Di jual cepat Turun Harga Apartemen pondok klub villa jakarta selatan,Rp 2.200.000.000,"Cilandak, Jakarta Selatan",2 KT - 2 KM - 98 m2
DIJUAL CEPAT TERMURAH RUMAH MEWAH PRIVATE POOL PERMATA HIJAU SENAYAN,Rp 27.000.000.000,"Kebayoran Lama, Jakarta Selatan",6 KT - 6 KM - 900 m2
Dijual Rumah Bagus dan Megah di Kebayoran Lama Jakarta Selatan,Rp 12.000.000.000,"Kebayoran Lama, Jakarta Selatan",7 KT - 4 KM - 420 m2
Rumah Baru 2 lantai sangat strategis di Pejaten Jakarta Selatan,Rp 3.000.000.000,"Pasar Minggu, Jakarta Selatan",5 KT - 4 KM - 300 m2
Jual Cepat Rumah Semi Furnish Ada Private Pool di Cipete JakSel,Rp 10.500.000.000,"Cilandak, Jakarta Selatan",3 KT - 3 KM - 180 m2
Rumah Dalam Komplek Selangkah ke MRT Lebak Bulus,Rp 4.750.000.000,"Cilandak, Jakarta Selatan",5 KT - 3 KM - 300 m2
Fast Sale Apartment Senopati Suites Tower 1,Rp 8.800.000.000,"Kebayoran Baru, Jakarta Selatan",3 KT - 3 KM - 191 m2
Apartemen 2 BR di One Bell Park Fatmawati Full Furnished,Rp 1.500.000.000,"Cilandak, Jakarta Selatan",2 KT - 1 KM - 47 m2
Rumah mewah 3 lantai + Private pool di Kebagusan Jakarta Selatan,Rp 4.250.000.000,"Pasar Minggu, Jakarta Selatan",6 KT - 6 KM - 270 m2
Dijual Apartement Point Square 2BR Full Furnished Lantai Rendah,Rp 1.500.000.000,"Cilandak, Jakarta Selatan",2 KT - 2 KM - 72 m2
Dijual Cepat!! Rumah Cluster Di Cinere Dekat MRT Lebak Bulus,Rp 1.400.000.000,"Cilandak, Jakarta Selatan",3 KT - 3 KM - 110 m2
Rumah di pinggir jalan cinangka depok,Rp 350.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 36 m2
Rumah di pinggir jalan cinangka depok,Rp 275.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 30 m2
Dijual unit di apartemen Signature Park (Tebet),Rp 1.100.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 40 m2
Dijual Apartment Essence Darmawangsa Luas 168m2,Rp 3.800.000.000,"Kebayoran Baru, Jakarta Selatan",3 KT - 3 KM - 168 m2
APARTEMEN SIAP HUNI DI PERMATA HIJAU SUITES,Rp 2.900.000.000,"Kebayoran Lama, Jakarta Selatan",3 KT - 2 KM - 91.0 m2
